No,S0,S1,S2,S3,DOP_calculated,Azimuth_original [°],PER_original [dB],Intensity_original [%],Timestamp,DOP [%],Azimuth_calculated [°],Ellipticity_angle [°],Ellipticity_ratio,Linear_DOP [%],Circular_DOP [%]
314,0.08,0.01307380917522349,0.03268685481217083,0.053159972123185954,0.7970000000000002,34.1,4.4,8.0,"28.05.2025, 19:38:25",79.70000000000002,34.1,28.24301018667592,0.5371621756779986,44.00559204276793,66.44996515398243
315,0.08,0.01326830662973378,0.032512992898810884,0.053026571942199285,0.795,33.9,4.4,8.0,"28.05.2025, 19:38:26",79.5,33.9,28.24301018650523,0.5371621756741599,43.895163957340664,66.2832149277491
316,0.08,0.01341916322848575,0.03192292784595235,0.05325075714005743,0.794,33.6,4.3,8.0,"28.05.2025, 19:38:27",79.4,33.6,28.482124150817043,0.5425517999752547,43.28588222523136,66.56344642507179
317,0.08,0.01373539665317162,0.03174062889747239,0.053183690695296645,0.7930000000000001,33.3,4.3,8.0,"28.05.2025, 19:38:28",79.30000000000001,33.3,28.482124150729575,0.5425517999732787,43.23136600076632,66.4796133691208
318,0.08,0.014067024546186383,0.03159505443014788,0.053183690695296645,0.7930000000000001,33.0,4.3,8.0,"28.05.2025, 19:38:29",79.30000000000001,33.0,28.482124150729575,0.5425517999732787,43.23136600076632,66.4796133691208
319,0.08,0.01428725504182613,0.03149607892098366,0.053183690695296645,0.7930000000000001,32.8,4.3,8.0,"28.05.2025, 19:38:30",79.30000000000001,32.8,28.482124150729575,0.5425517999732787,43.23136600076632,66.4796133691208
320,0.079,0.014104279220515,0.03052445693595077,0.052670693534783035,0.7909999999999999,32.6,4.2,7.9,"28.05.2025, 19:38:31",79.1,32.6,28.722721220190206,0.5479995446376568,42.563903596646966,66.67176396807979
321,0.079,0.014423151397235268,0.030375086293497083,0.052670693534783035,0.7909999999999999,32.3,4.2,7.9,"28.05.2025, 19:38:32",79.1,32.3,28.722721220190206,0.5479995446376568,42.563903596646966,66.67176396807979
322,0.079,0.014423151397235268,0.030375086293497083,0.052670693534783035,0.7909999999999999,32.3,4.2,7.9,"28.05.2025, 19:38:33",79.1,32.3,28.722721220190206,0.5479995446376568,42.563903596646966,66.67176396807979
323,0.079,0.014597852869869744,0.030197109029811993,0.05253751858273555,0.789,32.1,4.2,7.9,"28.05.2025, 19:38:34",78.9,32.1,28.722721220008175,0.5479995446335256,42.456283107148494,66.50318807941208
